Geneid	U1	U2	U3	M1	M2	M3	C1	C2	C3	G1	G2	G3
CDS:AF52_RS01450:dkgA:2%2C5-didehydrogluconate_reductase_DkgA:cds-WP_023286874.1:+:827:NZ_KK737550.1	79	36	80	77	46	173	24	31	18	113	117	126
CDS:AF52_RS01445:-:GNAT_family_N-acetyltransferase:cds-WP_004144550.1:-:527:NZ_KK737550.1	586	253	525	426	270	501	45	29	35	147	138	135
CDS:AF52_RS01440:-:YgiQ_family_radical_SAM_protein:cds-WP_004174383.1:-:2183:NZ_KK737550.1	2105	1057	1897	2041	998	1950	331	271	299	1136	1022	1504
CDS:AF52_RS01435:ftsP:cell_division_protein_FtsP:cds-WP_004144547.1:-:1412:NZ_KK737550.1	3275	1561	2487	2555	1718	3496	1454	1477	1456	2351	1881	3326
CDS:AF52_RS01430:plsC:1-acylglycerol-3-phosphate_O-acyltransferase:cds-WP_002916826.1:-:737:NZ_KK737550.1	976	515	1186	999	523	1072	517	715	643	1165	1216	1592
CDS:AF52_RS01425:parC:DNA_topoisomerase_IV_subunit_A:cds-WP_004181324.1:-:2258:NZ_KK737550.1	2205	1409	2132	2064	1155	2539	1312	1424	1377	2142	1907	3028
CDS:AF52_RS01420:-:AraC_family_transcriptional_regulator:cds-WP_002916831.1:-:869:NZ_KK737550.1	249	120	171	186	150	181	294	335	220	353	334	408
CDS:AF52_RS01415:-:YgiW/YdeI_family_stress_tolerance_OB_fold_protein:cds-WP_002916833.1:-:395:NZ_KK737550.1	199	81	104	113	72	156	222	258	140	303	333	348
CDS:AF52_RS01410:qseB:two-component_system_response_regulator_QseB:cds-WP_002916836.1:+:659:NZ_KK737550.1	210	112	89	155	88	158	17	84	59	154	110	164
CDS:AF52_RS01405:qseC:two-component_system_sensor_histidine_kinase_QseC:cds-WP_021440728.1:+:1349:NZ_KK737550.1	233	140	254	234	106	279	56	103	101	143	162	189
CDS:AF52_RS01400:-:NADPH-dependent_oxidoreductase:cds-WP_002916840.1:+:581:NZ_KK737550.1	322	139	215	267	170	246	210	308	241	302	220	349
CDS:AF52_RS01395:-:antibiotic_biosynthesis_monooxygenase:cds-WP_002916842.1:+:314:NZ_KK737550.1	1589	787	1255	1463	806	1779	798	1381	1547	2356	1704	2962
CDS:AF52_RS01390:parE:DNA_topoisomerase_IV_subunit_B:cds-WP_002916844.1:-:1895:NZ_KK737550.1	4603	3149	4350	3865	2101	4036	1259	1541	1502	1609	1870	2888
CDS:AF52_RS01385:yqiA:esterase_YqiA:cds-WP_002916845.1:-:575:NZ_KK737550.1	1929	1084	1563	1518	779	2097	618	521	533	1142	1166	1785
CDS:AF52_RS01380:cpdA:3%2C5-cyclic-AMP_phosphodiesterase:cds-WP_002916846.1:-:827:NZ_KK737550.1	1357	806	1000	1147	719	1408	391	418	404	1842	1502	2319
CDS:AF52_RS01375:-:DUF1249_family_protein:cds-WP_002916847.1:-:422:NZ_KK737550.1	360	223	522	428	180	401	170	142	69	418	419	637
CDS:AF52_RS01370:nudF:ADP-ribose_diphosphatase:cds-WP_002916848.1:-:632:NZ_KK737550.1	259	176	255	285	185	386	101	139	68	333	498	529
CDS:AF52_RS01365:tolC:outer_membrane_channel_protein_TolC:cds-WP_004150921.1:+:1469:NZ_KK737550.1	4492	2318	3566	5373	2795	6520	1546	2445	2260	4885	4350	6908
CDS:AF52_RS01360:-:DUF1190_family_protein:cds-WP_002916849.1:+:671:NZ_KK737550.1	1781	897	1680	1947	963	2241	548	595	467	3959	3520	5607
CDS:AF52_RS01355:-:glutathionylspermidine_synthase_family_protein:cds-WP_004900674.1:+:1160:NZ_KK737550.1	3274	1949	2833	3677	2030	4558	961	1087	1069	3311	3200	4230
CDS:AF52_RS01350:ygiD:4%2C5-DOPA_dioxygenase_extradiol:cds-WP_004174357.1:-:791:NZ_KK737550.1	86	26	77	42	46	69	36	39	53	128	144	307
CDS:AF52_RS01345:zupT:zinc_transporter_ZupT:cds-WP_032430358.1:+:770:NZ_KK737550.1	798	379	557	582	354	643	178	227	146	767	612	950
CDS:AF52_RS01340:ribB:3%2C4-dihydroxy-2-butanone-4-phosphate_synthase:cds-WP_004185664.1:-:653:NZ_KK737550.1	2666	1589	2406	2348	1153	2443	403	626	551	1458	1418	2621
CDS:AF52_RS01335:-:accessory_factor_UbiK_family_protein:cds-WP_002916856.1:+:272:NZ_KK737550.1	1194	751	1352	929	447	1138	875	1408	1373	1950	1455	2346
CDS:AF52_RS01330:glgS:cell_surface_composition_regulator_GlgS:cds-WP_002916857.1:-:197:NZ_KK737550.1	56	35	25	16	15	18	22	13	23	57	43	88
CDS:AF52_RS28140:-:hypothetical_protein:cds-AF52_RS28140:+:150:NZ_KK737550.1	23	5	23	11	0	38	6	13	2	18	9	13
CDS:AF52_RS01325:hldE:bifunctional_D-glycero-beta-D-manno-heptose-7-phosphate_kinase/D-glycero-beta-D-manno-heptose_1-phosphate_adenylyltransferase_HldE:cds-WP_002916858.1:-:1433:NZ_KK737550.1	1845	810	1497	1929	1058	2253	192	380	326	2566	1853	3103
CDS:AF52_RS01320:glnE:bifunctional_[glutamate--ammonia_ligase]-adenylyl-L-tyrosine_phosphorylase/[glutamate--ammonia-ligase]_adenylyltransferase:cds-WP_002916860.1:-:2837:NZ_KK737550.1	1430	922	1088	1540	1024	2097	252	238	218	1151	1291	1624
CDS:AF52_RS01315:-:inorganic_triphosphatase:cds-WP_009308672.1:-:1298:NZ_KK737550.1	509	312	244	649	456	692	157	238	191	625	558	857
CDS:AF52_RS01310:-:SH3_domain-containing_protein:cds-WP_002916862.1:+:620:NZ_KK737550.1	1613	803	1408	2108	1167	2063	47	60	56	4222	3335	5069
CDS:AF52_RS01305:-:multifunctional_CCA_addition/repair_protein:cds-WP_002916864.1:+:1241:NZ_KK737550.1	1937	1228	2186	3388	2070	3539	152	181	219	5042	4423	7016
CDS:AF52_RS01300:bacA:undecaprenyl-diphosphate_phosphatase:cds-WP_004144532.1:-:821:NZ_KK737550.1	1594	720	1643	3181	1863	4135	129	194	165	2628	2222	3498
CDS:AF52_RS01295:folB:bifunctional_dihydroneopterin_aldolase/7%2C8-dihydroneopterin_epimerase:cds-WP_004150923.1:-:383:NZ_KK737550.1	121	110	201	273	176	234	33	15	5	343	293	372
CDS:AF52_RS01290:plsY:glycerol-3-phosphate_1-O-acyltransferase_PlsY:cds-WP_004144530.1:+:617:NZ_KK737550.1	1678	844	1277	1747	751	1551	122	178	208	3444	2817	4397
CDS:AF52_RS28145:-:hypothetical_protein:cds-WP_021440736.1:+:119:NZ_KK737550.1	109	57	68	36	19	73	27	11	9	155	83	136
CDS:AF52_RS27590:-:short-chain_dehydrogenase:cds-AF52_RS27590:-:62:NZ_KK737550.1	2	0	7	23	10	21	0	0	0	3	0	10
CDS:AF52_RS01285:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-75:-:968:NZ_KK737550.1	162	101	179	139	77	201	93	166	102	206	192	424
CDS:AF52_RS0124690:-:hypothetical_protein:cds-WP_032430359.1:-:122:NZ_KK737550.1	14	7	9	9	11	17	4	10	14	16	7	37
CDS:AF52_RS01280:-:urease_accessory_protein_UreD:cds-WP_004174349.1:+:824:NZ_KK737550.1	60	7	48	35	31	28	13	0	3	81	54	40
CDS:AF52_RS01275:-:urease_subunit_gamma:cds-WP_002916871.1:+:302:NZ_KK737550.1	13	0	5	4	0	4	0	0	3	0	8	4
CDS:AF52_RS01270:-:urease_subunit_beta:cds-WP_021440738.1:+:320:NZ_KK737550.1	11	0	8	3	0	8	2	0	18	0	6	5
CDS:AF52_RS01265:ureC:urease_subunit_alpha:cds-WP_015958999.1:+:1703:NZ_KK737550.1	75	64	52	45	12	34	1	2	7	44	41	99
CDS:AF52_RS01260:ureE:urease_accessory_protein_UreE:cds-WP_004215466.1:+:476:NZ_KK737550.1	2	1	0	13	4	6	0	0	7	5	0	12
CDS:AF52_RS01255:-:urease_accessory_protein_UreF:cds-WP_016532672.1:+:674:NZ_KK737550.1	7	3	22	33	12	40	0	22	0	33	14	27
CDS:AF52_RS01250:ureG:urease_accessory_protein_UreG:cds-WP_002916877.1:+:617:NZ_KK737550.1	18	19	26	33	33	75	12	7	7	47	35	13
CDS:AF52_RS01245:-:cytosine_permease:cds-WP_025367880.1:+:1607:NZ_KK737550.1	55	16	35	57	25	39	0	16	12	63	44	77
CDS:AF52_RS01240:tsaD:tRNA_adenosine37-N6-threonylcarbamoyltransferase_complex_transferase_subunit_TsaD:cds-WP_004900709.1:-:1013:NZ_KK737550.1	1350	645	1222	1161	608	1179	179	214	213	1517	1260	2240
CDS:AF52_RS01235:rpsU:30S_ribosomal_protein_S21:cds-WP_001144069.1:+:215:NZ_KK737550.1	27199	14409	25601	18052	9855	20418	6512	12460	8539	27896	27854	38335
CDS:AF52_RS01230:dnaG:DNA_primase:cds-WP_004149864.1:+:1745:NZ_KK737550.1	10908	6451	9632	7765	4449	8093	1623	2554	1880	10626	9934	14234
CDS:AF52_RS01225:rpoD:RNA_polymerase_sigma_factor_RpoD:cds-WP_004174339.1:+:1841:NZ_KK737550.1	4223	2233	3364	4111	1916	4523	1283	2153	1942	4094	3753	5927
CDS:AF52_RS01220:mug:G/U_mismatch-specific_DNA_glycosylase:cds-WP_002917636.1:-:506:NZ_KK737550.1	40	71	79	83	20	96	36	52	35	286	251	482
CDS:AF52_RS26170:-:ogr/Delta-like_zinc_finger_family_protein:cds-WP_004174338.1:-:218:NZ_KK737550.1	48	17	47	37	40	54	58	137	131	255	188	300
CDS:AF52_RS01205:-:phage_late_control_D_family_protein:cds-WP_032430361.1:-:1097:NZ_KK737550.1	58	7	28	19	7	21	7	1	10	47	53	61
CDS:AF52_RS01200:-:phage_tail_protein:cds-WP_004185683.1:-:485:NZ_KK737550.1	13	17	14	22	11	18	3	8	2	2	19	18
CDS:AF52_RS01195:-:phage_tail_tape_measure_protein:cds-AF52_RS01195:-:1268:NZ_KK737550.1	59	19	27	21	11	30	36	15	26	84	48	38
CDS:AF52_RS01190:-:IS5-like_element_ISKpn26_family_transposase:cds-WP_020806188.1-6:+:980:NZ_KK737550.1	655	304	590	542	325	735	258	284	256	884	734	1082
CDS:AF52_RS01185:-:ATP-binding_protein:cds-WP_050484295.1:-:1997:NZ_KK737550.1	4219	2731	3374	2808	1641	3230	16106	24032	19930	4573	4101	5596
CDS:AF52_RS01180:-:DNA_cytosine_methyltransferase:cds-WP_032430362.1:-:1028:NZ_KK737550.1	1686	1164	1670	1150	628	1243	10859	14850	12155	6466	5858	7687
CDS:AF52_RS01175:-:DinI_family_protein:cds-WP_032414744.1:-:233:NZ_KK737550.1	218	201	219	142	91	150	4607	10817	7830	1264	1230	1270
CDS:AF52_RS01170:-:hypothetical_protein:cds-WP_032414845.1:-:188:NZ_KK737550.1	46	52	74	29	28	16	1211	1927	1585	308	320	310
CDS:AF52_RS01165:-:replication_endonuclease:cds-WP_032430364.1:-:2408:NZ_KK737550.1	77	13	47	50	15	80	56	76	84	64	73	73
CDS:AF52_RS27605:-:IS5/IS1182_family_transposase:cds-AF52_RS27605:+:172:NZ_KK737550.1	70	36	40	43	25	53	31	32	23	103	100	160
CDS:AF52_RS0124695:-:IS5/IS1182_family_transposase:cds-AF52_RS0124695:+:290:NZ_KK737550.1	58	29	61	53	19	61	9	12	15	61	47	81
CDS:AF52_RS01160:-:TonB-dependent_siderophore_receptor:cds-WP_021441030.1:+:2258:NZ_KK737550.1	167	88	94	186	78	144	55	114	91	186	202	311
CDS:AF52_RS01155:-:helix-turn-helix_transcriptional_regulator:cds-WP_004177844.1:-:368:NZ_KK737550.1	8	8	5	4	6	19	3	13	0	37	48	67
CDS:AF52_RS01150:-:tannase/feruloyl_esterase_family_alpha/beta_hydrolase:cds-WP_004177843.1:-:1760:NZ_KK737550.1	140	44	111	135	91	103	58	146	127	635	584	954
CDS:AF52_RS0124705:-:potassium:proton_antiporter:cds-WP_004146634.1:-:230:NZ_KK737550.1	15	9	41	5	25	41	16	39	38	83	62	76
CDS:AF52_RS01145:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-76:-:968:NZ_KK737550.1	219	77	164	197	82	119	114	138	86	244	201	381
CDS:AF52_RS01140:bamA:outer_membrane_protein_assembly_factor_BamA:cds-WP_023285711.1:+:2423:NZ_KK737550.1	415	310	367	425	199	354	122	128	146	756	892	1045
CDS:AF52_RS01135:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-77:-:968:NZ_KK737550.1	165	119	151	199	98	170	146	199	93	344	287	367
CDS:AF52_RS01130:-:inositol_monophosphatase:cds-WP_004198387.1:-:761:NZ_KK737550.1	90	23	121	77	83	123	152	161	173	115	86	321
CDS:AF52_RS01125:-:LacI_family_DNA-binding_transcriptional_regulator:cds-WP_002885046.1:-:1013:NZ_KK737550.1	41	0	29	53	33	40	49	28	84	36	95	71
CDS:AF52_RS01120:-:ribonuclease_Z:cds-WP_004151742.1:-:758:NZ_KK737550.1	2	8	15	51	3	10	1	11	1	77	71	73
CDS:AF52_RS01115:-:ABC_transporter_ATP-binding_protein:cds-WP_032430384.1:+:1028:NZ_KK737550.1	33	5	2	52	33	45	16	33	13	86	140	60
CDS:AF52_RS01110:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-78:+:968:NZ_KK737550.1	381	195	251	302	134	237	301	269	281	549	405	703
CDS:AF52_RS01105:-:hypothetical_protein:cds-WP_004174268.1:-:251:NZ_KK737550.1	168	143	151	43	60	127	60	99	45	355	451	587
CDS:AF52_RS01100:-:phage_repressor_protein_CI:cds-WP_032430367.1:-:614:NZ_KK737550.1	247	214	278	166	83	298	229	403	222	1004	667	1405
CDS:AF52_RS01095:-:hypothetical_protein:cds-WP_004174272.1:+:236:NZ_KK737550.1	51	38	149	101	44	89	3814	4030	3975	306	185	332
CDS:AF52_RS26555:-:phage_regulatory_CII_family_protein:cds-AF52_RS26555:+:326:NZ_KK737550.1	121	61	109	82	42	183	4598	5735	5570	151	160	127
CDS:AF52_RS01085:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-79:+:968:NZ_KK737550.1	408	154	322	293	170	351	2472	3421	3311	533	416	653
CDS:AF52_RS0124710:-:phage_regulatory_CII_family_protein:cds-AF52_RS0124710:+:188:NZ_KK737550.1	4	7	10	14	14	3	219	264	222	12	3	8
CDS:AF52_RS01080:-:DUF2724_domain-containing_protein:cds-WP_004174277.1:+:200:NZ_KK737550.1	1	1	2	2	2	0	100	134	112	3	0	0
CDS:AF52_RS01075:-:DUF5347_family_protein:cds-AF52_RS01075:+:203:NZ_KK737550.1	19	4	5	13	1	7	124	110	92	17	4	13
CDS:AF52_RS25955:thrL:thr_operon_leader_peptide:cds-WP_004222578.1:+:68:NZ_KK737549.1	246	196	215	223	120	292	33	56	59	1024	712	1497
CDS:AF52_RS06840:thrA:bifunctional_aspartate_kinase/homoserine_dehydrogenase_I:cds-WP_002887848.1:+:2462:NZ_KK737549.1	521	329	394	731	353	684	57	95	91	4002	3335	5406
CDS:AF52_RS06835:thrB:homoserine_kinase:cds-WP_002887853.1:+:929:NZ_KK737549.1	269	130	292	401	181	491	65	71	52	306	239	415
CDS:AF52_RS06830:thrC:threonine_synthase:cds-WP_002887863.1:+:1280:NZ_KK737549.1	746	459	660	662	384	858	212	198	336	520	543	860
CDS:AF52_RS06825:-:hypothetical_protein:cds-WP_004222583.1:+:377:NZ_KK737549.1	51	33	68	17	23	90	119	59	92	510	329	487
CDS:AF52_RS06820:yaaA:peroxide_stress_protein_YaaA:cds-WP_004178561.1:-:773:NZ_KK737549.1	469	208	348	377	250	355	439	880	676	704	512	711
CDS:AF52_RS06815:-:sodium:alanine_symporter_family_protein:cds-WP_002887871.1:-:1430:NZ_KK737549.1	675	384	540	502	207	748	294	329	345	650	790	1010
CDS:AF52_RS06810:tal:transaldolase:cds-WP_002887897.1:+:953:NZ_KK737549.1	5734	2962	4656	4441	2744	5381	5235	6445	5753	3944	3684	5702
CDS:AF52_RS06805:mog:molybdopterin_adenylyltransferase:cds-WP_002887898.1:+:587:NZ_KK737549.1	1073	641	863	817	511	1023	654	768	786	1344	1159	1715
CDS:AF52_RS06800:-:MFS_transporter:cds-WP_021441173.1:+:1304:NZ_KK737549.1	1072	394	658	695	245	932	421	596	357	1043	767	1354
CDS:AF52_RS06795:satP:acetate_uptake_transporter:cds-WP_004177461.1:-:566:NZ_KK737549.1	125	138	140	185	103	213	309	300	170	109	158	120
CDS:AF52_RS06790:msyB:acidic_protein_MsyB:cds-WP_021441175.1:-:749:NZ_KK737549.1	47	9	6	8	21	14	1	26	28	44	29	30
CDS:AF52_RS06785:-:DUF2541_family_protein:cds-WP_002887909.1:-:404:NZ_KK737549.1	28	14	17	4	1	22	2	26	9	15	38	48
CDS:AF52_RS06780:dnaK:molecular_chaperone_DnaK:cds-WP_004146997.1:+:1916:NZ_KK737549.1	5700	3996	4249	7777	4249	8998	7358	7946	6947	27750	27005	38773
CDS:AF52_RS06775:dnaJ:molecular_chaperone_DnaJ:cds-WP_002887955.1:+:1133:NZ_KK737549.1	2008	1095	1435	2144	1406	2723	1019	1258	1217	4344	4084	5499
CDS:AF52_RS06770:nhaA:Na+/H+_antiporter_NhaA:cds-WP_004192071.1:+:1175:NZ_KK737549.1	3221	2109	3237	5851	3769	6243	2195	2979	2888	50076	45449	65978
CDS:AF52_RS06765:nhaR:transcriptional_activator_NhaR:cds-WP_002887961.1:+:896:NZ_KK737549.1	968	521	1119	1838	942	1542	564	861	788	24033	22682	33580
CDS:AF52_RS0124335:rpsT:30S_ribosomal_protein_S20:cds-WP_002887965.1:-:263:NZ_KK737549.1	11126	7089	13176	9671	4443	11844	1584	3436	2472	9308	10509	17813
CDS:AF52_RS06760:ribF:bifunctional_riboflavin_kinase/FAD_synthetase:cds-WP_002887969.1:+:938:NZ_KK737549.1	2305	1207	1795	1679	1115	2195	201	399	392	2633	2430	3888
CDS:AF52_RS06755:ileS:isoleucine--tRNA_ligase:cds-WP_032430302.1:+:2816:NZ_KK737549.1	3970	2477	3569	3762	2078	5086	505	665	684	2662	2880	4370
CDS:AF52_RS06750:lspA:signal_peptidase_II:cds-WP_002887973.1:+:500:NZ_KK737549.1	1705	950	1453	2126	967	2254	153	223	202	346	400	620
CDS:AF52_RS06745:fkpB:FKBP-type_peptidyl-prolyl_cis-trans_isomerase:cds-WP_002887976.1:+:449:NZ_KK737549.1	683	344	549	676	338	614	76	103	52	64	65	133
CDS:AF52_RS06740:ispH:4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase:cds-WP_002887979.1:+:950:NZ_KK737549.1	1822	840	1359	1545	933	1936	76	179	132	181	183	274
CDS:AF52_RS06735:rihC:ribonucleoside_hydrolase_RihC:cds-WP_032430200.1:+:914:NZ_KK737549.1	463	259	406	341	148	341	12	40	14	222	159	350
CDS:AF52_RS06730:-:DUF805_domain-containing_protein:cds-WP_032428524.1:+:365:NZ_KK737549.1	111	49	85	71	62	109	6	8	0	111	77	148
CDS:AF52_RS06725:-:LysR_family_transcriptional_regulator:cds-WP_021441178.1:-:929:NZ_KK737549.1	79	30	101	59	91	138	20	0	9	287	239	506
CDS:AF52_RS06720:-:hypothetical_protein:cds-WP_004192057.1:+:629:NZ_KK737549.1	38	11	54	57	42	11	19	12	26	147	93	115
CDS:AF52_RS06715:-:response_regulator:cds-WP_004222618.1:-:704:NZ_KK737549.1	63	2	21	43	25	20	0	31	3	52	58	90
CDS:AF52_RS06710:-:sensor_histidine_kinase:cds-WP_004151379.1:-:1628:NZ_KK737549.1	27	0	6	84	9	49	0	0	0	76	107	43
CDS:AF52_RS06705:-:oxalacetate_decarboxylase_subunit_beta:cds-WP_032430201.1:-:1301:NZ_KK737549.1	0	0	10	0	0	0	0	0	0	26	5	23
CDS:AF52_RS06700:oadA:sodium-extruding_oxaloacetate_decarboxylase_subunit_alpha:cds-WP_021441180.1:-:1778:NZ_KK737549.1	17	10	0	13	0	8	0	0	0	28	1	11
CDS:AF52_RS06695:-:oxaloacetate_decarboxylase_subunit_gamma:cds-WP_012540458.1:-:251:NZ_KK737549.1	5	1	0	1	0	0	0	0	0	29	10	11
CDS:AF52_RS06690:citN:citrate/sodium_symporter_CitN:cds-WP_004151375.1:-:1340:NZ_KK737549.1	11	9	0	11	4	34	0	0	1	47	62	58
CDS:AF52_RS06685:citC:[citrate_pro-3S-lyase]_ligase:cds-WP_004222626.1:+:1028:NZ_KK737549.1	0	0	2	4	0	6	0	0	1	46	35	34
CDS:AF52_RS06680:citD:citrate_lyase_acyl_carrier_protein:cds-WP_004151373.1:+:293:NZ_KK737549.1	0	0	0	1	0	7	0	3	2	5	1	0
CDS:AF52_RS06675:citE:citrate_pro-3S-lyase_subunit_beta:cds-WP_004151372.1:+:869:NZ_KK737549.1	3	0	1	0	0	2	0	3	0	2	3	13
CDS:AF52_RS06670:citF:citrate_lyase_subunit_alpha:cds-WP_032428528.1:+:1526:NZ_KK737549.1	13	9	7	31	0	14	4	0	13	44	22	43
CDS:AF52_RS06665:citG:triphosphoribosyl-dephospho-CoA_synthase_CitG:cds-WP_004222628.1:+:908:NZ_KK737549.1	44	28	43	51	18	69	2	0	6	87	98	85
CDS:AF52_RS06660:dapB:4-hydroxy-tetrahydrodipicolinate_reductase:cds-WP_021441183.1:+:821:NZ_KK737549.1	333	164	431	476	300	611	92	76	72	660	849	884
CDS:AF52_RS06655:carA:glutamine-hydrolyzing_carbamoyl-phosphate_synthase_small_subunit:cds-WP_004212571.1:+:1148:NZ_KK737549.1	6630	3654	5257	5297	2775	5642	86	133	127	7236	5302	8674
CDS:AF52_RS06650:carB:carbamoyl-phosphate_synthase_large_subunit:cds-WP_002888056.1:+:3224:NZ_KK737549.1	18074	8947	13655	16220	9354	18343	306	348	404	906	747	960
CDS:AF52_RS06645:-:YgdI/YgdR_family_lipoprotein:cds-WP_002888059.1:+:233:NZ_KK737549.1	162	94	114	387	192	529	12	3	13	26	25	89
CDS:AF52_RS06640:kefF:glutathione-regulated_potassium-efflux_system_oxidoreductase_KefF:cds-WP_002888068.1:+:533:NZ_KK737549.1	365	233	258	1996	896	1641	27	27	14	530	436	642
CDS:AF52_RS06635:kefC:glutathione-regulated_potassium-efflux_system_protein_KefC:cds-WP_004145992.1:+:1865:NZ_KK737549.1	290	181	257	406	256	370	3	3	4	278	194	380
CDS:AF52_RS06630:folA:type_3_dihydrofolate_reductase:cds-WP_002888320.1:+:479:NZ_KK737549.1	684	440	660	697	440	696	27	4	79	1208	1174	1656
CDS:AF52_RS06625:apaH:bis5-nucleosyl-tetraphosphatase_symmetrical_ApaH:cds-WP_002888321.1:-:848:NZ_KK737549.1	1518	862	1263	1393	777	1508	143	192	182	260	298	381
CDS:AF52_RS06620:apaG:Co2+/Mg2+_efflux_protein_ApaG:cds-WP_002888323.1:-:377:NZ_KK737549.1	867	440	778	827	350	805	145	224	171	404	290	375
CDS:AF52_RS06615:rsmA:16S_rRNA_adenine1518-N6/adenine1519-N6-dimethyltransferase_RsmA:cds-WP_002888324.1:-:821:NZ_KK737549.1	1323	618	1009	1159	615	1370	251	326	206	540	468	802
CDS:AF52_RS06610:pdxA:4-hydroxythreonine-4-phosphate_dehydrogenase_PdxA:cds-WP_032430205.1:-:989:NZ_KK737549.1	2483	1143	1881	2110	1047	2189	331	442	403	810	672	1356
CDS:AF52_RS06605:surA:peptidylprolyl_isomerase_SurA:cds-WP_002888329.1:-:1286:NZ_KK737549.1	2470	1482	2265	2597	1410	2811	290	453	562	1598	1249	2122
CDS:AF52_RS06600:lptD:LPS_assembly_protein_LptD:cds-WP_032103829.1:-:2348:NZ_KK737549.1	3955	1829	2948	3402	1841	3976	491	819	638	2488	2335	3343
CDS:AF52_RS06595:djlA:co-chaperone_DjlA:cds-WP_002888332.1:+:827:NZ_KK737549.1	621	353	623	641	408	694	107	131	114	581	489	841
CDS:AF52_RS06590:-:response_regulator:cds-WP_002888337.1:-:698:NZ_KK737549.1	10	44	52	46	29	43	3	0	3	33	20	40
CDS:AF52_RS06585:-:sensor_histidine_kinase:cds-WP_004192048.1:-:1625:NZ_KK737549.1	95	33	92	58	9	118	10	6	18	548	395	759
CDS:AF52_RS06580:-:2-hydroxycarboxylate_transporter_family_protein:cds-WP_002888345.1:+:1364:NZ_KK737549.1	39	38	52	38	8	20	0	0	8	139	125	131
CDS:AF52_RS06575:citX:citrate_lyase_holo-[acyl-carrier_protein]_synthase:cds-WP_021441189.1:+:539:NZ_KK737549.1	411	224	440	427	228	546	84	58	40	458	446	736
CDS:AF52_RS06570:rluA:bifunctional_tRNA_pseudouridine32_synthase/23S_rRNA_pseudouridine746_synthase_RluA:cds-WP_002888348.1:-:659:NZ_KK737549.1	728	459	727	769	445	1031	447	514	655	22	51	16
CDS:AF52_RS06565:rapA:RNA_polymerase-associated_protein_RapA:cds-WP_032428530.1:-:2906:NZ_KK737549.1	2041	965	2079	2068	796	1910	1185	1571	1836	534	536	800
CDS:AF52_RS06560:polB:DNA_polymerase_II:cds-WP_021441191.1:-:2357:NZ_KK737549.1	909	448	771	584	408	678	2952	3442	3485	1353	1294	1934
CDS:AF52_RS06555:araD:L-ribulose-5-phosphate_4-epimerase:cds-WP_002888353.1:-:695:NZ_KK737549.1	6	8	21	2	0	3	15	0	6	21	5	7
CDS:AF52_RS06550:araA:L-arabinose_isomerase:cds-WP_021441192.1:-:1502:NZ_KK737549.1	9	7	21	13	25	34	16	6	19	47	20	58
CDS:AF52_RS06545:araB:ribulokinase:cds-WP_023279864.1:-:1709:NZ_KK737549.1	15	4	21	55	0	24	0	7	9	75	28	28
CDS:AF52_RS06540:araC:arabinose_operon_transcriptional_regulator_AraC:cds-WP_004145972.1:+:845:NZ_KK737549.1	46	35	46	43	64	91	20	98	97	1258	1078	1788
CDS:AF52_RS06535:-:DedA_family_protein:cds-WP_002888373.1:+:767:NZ_KK737549.1	510	203	412	489	302	516	66	210	112	1060	885	1448
CDS:AF52_RS06530:thiQ:thiamine_ABC_transporter_ATP-binding_protein_ThiQ:cds-WP_032430207.1:-:701:NZ_KK737549.1	431	179	314	328	251	476	164	194	194	34	34	23
CDS:AF52_RS06525:thiP:thiamine/thiamine_pyrophosphate_ABC_transporter_permease_ThiP:cds-WP_002888430.1:-:1610:NZ_KK737549.1	1429	884	1422	1232	794	1496	748	969	919	502	355	529
CDS:AF52_RS06520:-:thiamine_ABC_transporter_substrate_binding_subunit:cds-WP_032428532.1:-:983:NZ_KK737549.1	879	457	832	675	387	882	438	729	569	1075	814	1445
CDS:AF52_RS0124360:sgrR:HTH-type_transcriptional_regulator_SgrR:cds-AF52_RS0124360:-:1655:NZ_KK737549.1	857	473	846	772	375	841	558	546	717	926	813	1239
CDS:AF52_RS06515:sgrT:glucose_uptake_inhibitor_SgrT:cds-WP_002888448.1:+:152:NZ_KK737549.1	37	4	26	19	9	43	6	22	40	21	9	35
CDS:AF52_RS06510:-:MFS_transporter:cds-WP_004147046.1:+:1184:NZ_KK737549.1	503	304	354	517	251	442	192	292	284	359	369	451
CDS:AF52_RS06505:-:MFS_transporter:cds-WP_004147047.1:-:1310:NZ_KK737549.1	125	46	92	130	72	99	476	529	444	986	782	1304
CDS:AF52_RS06500:-:IS5-like_element_IS903B_family_transposase:cds-WP_013815099.1-58:+:968:NZ_KK737549.1	337	177	313	273	167	302	188	211	216	558	451	624
CDS:AF52_RS06495:-:LysR_family_transcriptional_regulator:cds-WP_002888455.1:+:896:NZ_KK737549.1	17	23	22	39	43	19	14	7	31	134	38	139
CDS:AF52_RS06490:-:type_I_3-dehydroquinate_dehydratase:cds-WP_004177420.1:-:755:NZ_KK737549.1	273	121	195	285	196	383	334	470	401	553	294	596
